observation_date,FPCPITOTLZGLKA
2000-01-01,6.176275910120450
2001-01-01,14.158455799120000
2002-01-01,9.551031670072510
2003-01-01,6.314637870511740
2004-01-01,7.575925829958560
2005-01-01,11.639686097111801
2006-01-01,10.020183605703499
2007-01-01,15.842111492484300
2008-01-01,22.564495530012600
2009-01-01,3.464963221060740
2010-01-01,6.217648893046200
2011-01-01,6.716768435885400
2012-01-01,7.542913732394370
2013-01-01,6.908450348284520
2014-01-01,3.179002282360600
2015-01-01,3.768367830620960
2016-01-01,3.958888465930700
2017-01-01,7.704137678506020
2018-01-01,2.135037737132000
2019-01-01,3.528393582318110
2020-01-01,6.153945083917380
2021-01-01,7.014780712381950
2022-01-01,49.721102111432707
2023-01-01,16.541174227983198
