Year,GDP (current US$),"Central government debt, total (% of GDP)","Industry (including construction), value added (% of GDP)","Agriculture, forestry, and fishing, value added (% of GDP)","Services, value added (% of GDP)",Military expenditure (% of GDP),GDP per capita (current US$)
2000,1.96698E+12,,27.25364612,0.996168402,61.68374294,1.358883033,23925.85599
2001,1.96638E+12,,26.57854823,1.083337508,62.4078924,1.323438303,23878.36415
2002,2.10235E+12,,25.79838623,0.901338515,63.41285262,1.327958121,25486.5942
2003,2.53472E+12,,25.62073536,0.829342961,63.51310464,1.316924865,30711.10225
2004,2.85232E+12,,25.83862471,0.948871367,63.44280955,1.268957396,34566.73591
2005,2.89339E+12,,25.6870805,0.726057849,63.67423281,1.065629701,35084.43635
2006,3.04631E+12,,26.26004666,0.716599758,63.07722428,1.199302958,36980.33499
2007,3.48406E+12,,26.45970844,0.822076768,62.233953,1.172471765,42350.92172
2008,3.80879E+12,,26.06009237,0.836898767,62.58468228,1.209034004,46386.32959
2009,3.47980E+12,,23.87310762,0.6701752,64.62553159,1.310604073,42487.21371
2010,3.46815E+12,,26.06312546,0.775746734,62.68361582,1.266826626,42409.9357
2011,3.82483E+12,,26.31240879,0.924336108,62.01480452,1.206150336,47646.58204
2012,3.59790E+12,,26.57610753,0.911054928,61.79361372,1.241677479,44735.58823
2013,3.80809E+12,,25.90779415,0.92687146,62.33479116,1.185257901,47220.01021
2014,3.96580E+12,,26.01463233,0.915391753,62.27062445,1.149941997,48971.08247
2015,3.42357E+12,,25.91528527,0.708829582,62.56088669,1.137338427,41911.01099
2016,3.53778E+12,,26.2157748,0.730325302,62.32010162,1.151230373,42961.03569
2017,3.76309E+12,,26.11757042,0.860523969,62.34102146,1.153403721,45526.59996
2018,4.05201E+12,,25.9385392,0.743078811,62.68882263,1.170548545,48874.8595
2019,3.95721E+12,,25.63105395,0.833691667,62.90951885,1.262150257,47623.86561
2020,3.94014E+12,,25.37746187,0.728891878,63.72954122,1.373585715,47379.76519
2021,4.34830E+12,,25.30665368,0.742181337,63.39163217,1.32678559,52265.65416
2022,4.16360E+12,,25.68688746,1.003958167,63.41935076,1.39005501,49686.11546
2023,4.52570E+12,,26.843115,0.841992092,63.69062608,,54343.22651
